Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Trochalopteron imbricatum,10.2,4.58,5.63,81,29.05,41,G,G,O,F
Trochalopteron squamatum,13.52,5.62,7.61,103,41.43,84,G,G,O,F
Trochalopteron subunicolor,9.89,4.5,6.15,94.75,37.14,66,G,G,I,F
Urocissa flavirostris,24.37,12.44,13.34,190,49.01,151,T,L,I,F
Xiphirhynchus superciliaris,43.15,2.7,5,77,31.35,28,G,G,I,F
Yuhina bakeri,6.5,3.4,4.03,67,21.79,18,M,L,I,F
Yuhina flavicollis,6.7,2.93,3.22,63.2,21.72,15,M,L,I,F
Yuhina gularis,8.29,3.2,3.13,73.1,23.85,21,T,L,I,F
Yuhina nigrimenta,6.74,2.63,2.52,56,16.4,10,M,L,I,F
Yuhina occipitalis,8.16,2.75,2.95,61.5,20.09,13,T,L,I,F
